"Sample","Fly_Line","Titre","Initial_V","Time","Time_group","log_IU_fly","log_MNE","log_WOL_MNE","Replicate","TCID","IU_mL","TCID_status","MNE","SE_MNE","SE_Percent","MNE_status","IU_fly","Sample_file","WOL_MNE","WOL_SE_MNE","WOL_SE_Percent","Wol_status"
152,"Wol",1e+06,50,336,"5",6.39322094110033,0.3022971773875,0.308374728419698,2,6.5,43640000,NA,2.0058441093,0.04961,2.47,NA,2472981.9192,"152_data/raw/2309011_MA_Wolbachia_Density_Batch5_b1p26T.csv",2.0341113749,"0.2163","10.63",NA
153,"Wol",1e+06,50,336,"5",6.29316475756192,0.700175173889488,0.439647178929282,3,6.4,34660000,NA,5.0138942967,0.95766,19.1,NA,1964105.2548,"153_data/raw/2309011_MA_Wolbachia_Density_Batch4_b1p25T.csv",2.7519920751,"0.28564","10.38",NA
154,"Wol",1e+06,50,360,"5",7.14321075757501,1.00715604450176,0.0687280443184312,1,7.25,245400000,NA,10.1661390247,0.25146,2.47,NA,13906273.212,"154_data/raw/2309011_MA_Wolbachia_Density_Batch5_b1p26T.csv",1.1714615653,"0.07902","6.75",NA
155,"Wol",1e+06,50,360,"5",6.14321075757501,0.73215806623865,0.602566490582065,2,6.25,24540000,NA,5.3970701906,0,0,NA,1390627.3212,"155_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv",4.0046677519,"0.7038","17.57",NA
156,"Wol",1e+06,50,360,"5",5.64319792044221,1.14291166295903,0.473768620451412,3,5.75,7760000,NA,13.8966993866,2.05172,14.76,NA,439741.9728,"156_data/raw/2309011_MA_Wolbachia_Density_Batch7_8_b1p30T.csv",2.9769299846,"0.23788","7.99",NA
157,"Wol",1e+06,50,384,"5",6.64319792044221,1.09217860019281,0.0973817702724792,1,6.75,77600000,NA,12.3645581164,0.47233,3.82,NA,4397419.728,"157_data/raw/2309011_MA_Wolbachia_Density_Batch4_b1p25T.csv",1.2513585643,"0.14661","11.72",NA
158,"Wol",1e+06,50,384,"5",6.64319792044221,0.734383438527499,0.19178016021206,2,6.75,77600000,NA,5.4247963421,0.20723,3.82,NA,4397419.728,"158_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv",1.5551782014,"0.0488","3.14",NA
159,"Wol",1e+06,50,384,"5",NA,NA,0.381180294835917,3,NA,NA,"M",NA,NA,NA,"M",NA,"159_data/raw/2309011_MA_Wolbachia_Density_Batch7_8_b1p30T.csv",2.4053611645,"0.07547","3.14",NA
160,"Wol",1e+06,50,408,"5",6.89321528558526,1.11474042509676,-0.31222148926397,1,7,1.38e+08,NA,13.0238811712,0.32214,2.47,NA,7820153.64,"160_data/raw/2309011_MA_Wolbachia_Density_Batch7_8_b1p30T.csv",0.487279915,"0.04735","9.72",NA
161,"Wol",1e+06,50,408,"5",6.39322094110033,1.38717738173365,-0.0727068825391139,2,6.5,43640000,NA,24.3880671274,1.39986,5.74,NA,2472981.9192,"161_data/raw/2309018_MA_Wolbachia_Density_Batch_repeat_1_b1p31T.csv",0.84584954,"0.06277","7.42",NA
