"Sample","Time","Line","Titre","Replicate","TCID","IU_mL","MNE","SE_MNE","SE_Percent","Fly_Line","Initial_V","IU_fly","log_IU_fly","log_MNE","Wolbacia_batch","Wolbachia_sample_order","Repeat","Progress_manual","Check_Angelique","Sample_file","WOL_MNE","WOL_SE_MNE","WOL_SE_Percent","Take_off_rpl","Amplification_rpl","Second_Der_Max_rpl","Rep_Take_off_rpl","Std_dev_rpl","Tech_Rep_rpl","Take_off_WOL","Amplification_WOL","Second_Der_Max_WOL","Rep_Take_off_WOL","Std_dev_WOL","Tech_Rep_WOL","Filter_Reason","Quality_Control"
22,24,"Wol",50,1,"NA","NA","4.8956570000000003E-3","0","0","Wol",50,"NA","NA","-5.3194067120000001",6,"68","NON-DETECT","Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,264,"Wol",50,3,"4.6364000000000001","597400","0.105537714","1.059E-2","10.039999999999999","Wol",50,"33853.331769999997","10.4297927","-2.24868691",6,"69",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,24,"Wol",50,3,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",6,"70","NON-DETECT","Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,120,"Wol",50,3,"5.4","3466000","0.13567079900000001","1.555E-2","11.46","Wol",50,"196410.52549999999","12.18796227","-1.9975239250000001",6,"71",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,202,"Wol",50,2,"7.1551999999999998","197300000","7.7842594099999998","0.29736000000000001","3.82","Wol",50,"11180552.99","16.229686489999999","2.0521036700000002",6,"72",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,130,"Wol",50,2,"5","1380000","1.0372810509999999","7.9250000000000001E-2","7.64","Wol",50,"78201.536399999997","11.267044569999999","3.6602915999999999E-2",7,"73",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,226,"Wol",50,3,"5","1380000","0.18549575099999999","1.065E-2","5.74","Wol",50,"78201.536399999997","11.267044569999999","-1.684723306",7,"74",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,408,"Wol",50,1,"7","138000000","13.023881169999999","0.32213999999999998","2.4700000000000002","Wol",50,"7820153.6399999997","15.87221476","2.566784685",7,"75",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,288,"Wol",50,3,"6.4","34660000","23.733279249999999","2.93519","12.37","Wol",50,"1964105.2549999999","14.490547360000001","3.166878251",7,"76",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,24,"Wol",50,2,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",7,"77","NON-DETECT","Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,10,"Wol",50,3,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",7,"78","NON-DETECT","Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,82,"Wol",50,2,"NA","NA","5.5952689999999999E-3","6.4999999999999997E-4","11.64","Wol",50,"NA","NA","-5.1858337880000001",7,"79","NON-DETECT","Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,120,"Wol",50,1,"NA","NA","9.4667799999999995E-4","1.1E-4","11.9","Wol",50,"NA","NA","-6.9625513320000003",7,NA,"REPEAT","Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
